Nome do Reposit�rio,Estrelas,Tamanho (LOC),Coment�rios,Releases,Maturidade (anos)
JavaGuide,146003,236,58,0,6.38
GitHub-Chinese-Top-Charts,98919,285,0,0,5.05
hello-algo,95671,64,4,8,1.88
java-design-patterns,89400,500,7,0,10.12
mall,77356,126,26,3,6.47
advanced-java,75732,126,27,1,5.96
LeetCodeAnimation,75326,0,0,0,5.79
spring-boot,74559,0,0,286,11.93
elasticsearch,69591,0,0,155,14.62
interviews,63370,401,49,0,7.6
Java,58697,9,4,0,8.19
spring-framework,56244,11,9,312,13.79
ghidra,50662,97,15,38,5.56
guava,50026,94,6,46,10.32
RxJava,47838,370,47,234,11.7
Stirling-PDF,42362,251,28,85,1.65
jadx,41037,177,8,29,11.52
dubbo,40367,106,21,104,12.26
JeecgBoot,40102,322,28,48,5.82
dbeaver,39338,43,7,207,8.92
MPAndroidChart,37544,129,3,44,10.41
tutorials,36510,73,1,0,11.4
arthas,35394,311,30,55,6.06
hello-algorithm,35178,166,7,0,4.32
lottie-android,34970,31,6,52,7.96
termux-app,34882,138,26,91,8.92
glide,34590,161,0,47,11.21
halo,33301,42,7,190,6.51
netty,33294,45,5,0,13.87
AndroidUtilCode,33241,38,9,117,8.15
spring-boot-demo,32890,115,12,0,6.87
zxing,32670,65,10,31,12.95
easyexcel,32019,122,14,14,6.62
NewPipe,31088,99,9,131,9.05
leetcode,30948,170,20,20,6.02
selenium,30227,337,34,98,11.69
spring-boot-examples,30166,38,1,0,7.88
nacos,30053,133,16,71,6.27
apollo,29058,499,17,40,8.55
hutool,28947,138,20,145,10.45
kafka,28413,178,38,0,13.11
canal,28353,72,10,31,11.69
SpringAll,28237,0,0,0,6.39
druid,27900,17,2,51,12.89
spring-cloud-alibaba,27812,82,11,42,6.81
xxl-job,27388,766,8,33,8.82
vhr,27295,129,37,0,6.72
JCSprout,27067,86,11,0,6.76
ruoyi-vue-pro,26785,247,30,28,3.66
miaosha,26189,8,0,0,6.02
fastjson,25722,53,8,84,12.89
butterknife,25562,93,0,0,11.55
toBeTopJavaer,25295,25,6,0,5.91
incubator-seata,25224,236,19,41,5.73
proxyee-down,24937,26,10,49,6.91
SmartRefreshLayout,24894,253,29,12,7.31
Telegram,24788,21,5,94,10.91
EventBus,24664,88,0,7,12.19
Hystrix,24071,131,22,79,11.84
flink,23858,80,13,0,10.3
skywalking,23715,44,9,60,8.88
gson,23274,74,13,7,9.51
redisson,23211,162,20,154,10.7
libgdx,23161,18,7,11,12.12
jenkins,22993,40,9,367,13.84
bazel,22992,37,5,153,10.28
keycloak,22364,25,11,63,11.23
Sentinel,22323,113,16,25,6.47
Mindustry,22150,32,10,160,7.4
source-code-hunter,22000,214,57,0,4.9
ExoPlayer,21703,11,1,28,10.28
openapi-generator,21349,1048,53,66,6.36
FizzBuzzEnterpriseEdition,21234,21,3,0,11.83
eladmin,21209,72,10,1,5.77
rocketmq,21090,177,21,19,7.81
graal,20256,78,5,32,8.69
GSYVideoPlayer,20099,220,34,47,7.86
DoKit,20090,213,20,10,6.11
RxAndroid,19886,84,9,20,10.1
HikariCP,19870,420,29,0,10.96
Apktool,19869,32,7,23,12.51
shardingsphere,19793,123,23,56,8.68
mybatis-3,19698,53,0,43,11.6
jdk,19436,8,1,0,6.01
litemall,19121,130,14,8,6.5
SpringBoot-Labs,18980,233,55,0,6.03
PhotoView,18771,71,7,5,12.19
SmartTube,18679,185,55,495,4.15
cat,18635,62,15,3,11.8
SpringCloudLearning,17847,94,11,0,7.46
dataease,17410,58,9,82,3.63
disruptor,17366,0,0,14,12.01
awesome-system-design-resources,17305,136,14,0,0.91
thingsboard,17251,20,6,61,7.81
LSPosed,17212,34,11,39,3.78
tinker,17137,95,10,57,8.04
Algorithms,17119,226,29,0,7.52
APIJSON,17099,559,43,100,7.84
intellij-community,17094,62,9,0,12.98
fresco,17072,24,5,51,9.56
antlr4,16993,70,7,31,14.64
zipkin,16936,154,25,92,12.3
DSA-Bootcamp-Java,16920,4,1,0,3.15
Android-Universal-Image-Loader,16786,105,14,0,12.82
java8-tutorial,16726,528,38,0,10.52
zheng,16663,309,35,0,7.97
analysis-ik,16488,156,7,208,12.77
JustAuth,16402,192,20,45,5.64
mybatis-plus,16296,95,6,31,8.1
material-components-android,16278,31,5,97,7.8
springboot-learning-example,16231,67,16,0,7.62
Sa-Token,16169,155,7,33,4.63
Grasscutter,16163,61,8,20,2.43
conductor,16144,41,15,11,0.79
