nome_da_pasta,loc_media,loc_mediana,loc_moda,cbo_media,cbo_mediana,cbo_moda,dit_media,dit_mediana,dit_moda,lcom_media,lcom_mediana,lcom_moda
--,66.69461432235155,10.0,5.0,3.541921483527323,2.0,1.0,2.910830538567765,2.0,3.0,440.4263168277767,0.0,0.0
1brc,89.05166666666666,43.0,26.0,3.1666666666666665,3.0,2.0,1.09,1.0,1.0,7.58,1.0,0.0
99-problems,15.466165413533835,12.0,5.0,1.699248120300752,2.0,2.0,1.0,1.0,1.0,1.6842105263157894,0.0,0.0
ActionBarSherlock,61.97423887587822,18.0,5.0,6.126463700234192,4.0,1.0,1.9718969555035128,1.0,1.0,63.39812646370024,0.0,0.0
ActiveAndroid,50.935483870967744,22.0,2.0,3.903225806451613,3.0,2.0,1.935483870967742,2.0,1.0,22.080645161290324,3.0,0.0
Activiti,45.7183014354067,19.0,5.0,5.805622009569378,4.0,2.0,1.5586124401913874,1.0,1.0,89.93181818181819,1.0,0.0
actor-platform,41.0881904180653,17.0,5.0,4.869087580103754,3.0,1.0,1.443698504729936,1.0,1.0,17.224595666768387,0.0,0.0
advanced-java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aegis,52.011600928074245,22.0,3.0,7.410672853828307,5.0,1.0,1.703016241299304,1.0,1.0,22.573085846867748,1.0,0.0
aeron,91.27910685805422,33.5,5.0,7.511164274322169,4.0,1.0,1.3014354066985645,1.0,1.0,108.19059011164275,0.0,0.0
AgentWeb,44.21875,12.0,5.0,5.3984375,3.0,1.0,1.48828125,1.0,1.0,18.79296875,0.0,0.0
agera,37.57586206896552,13.0,5.0,6.327586206896552,4.0,3.0,1.2413793103448276,1.0,1.0,14.844827586206897,0.0,0.0
ahbottomnavigation,50.84782608695652,10.0,5.0,5.108695652173913,2.0,2.0,1.173913043478261,1.0,1.0,57.47826086956522,0.0,0.0
akhq,58.25,16.5,5.0,8.232876712328768,6.0,3.0,1.297945205479452,1.0,1.0,29.96232876712329,0.0,0.0
AlgoDS,29.883098591549295,25.0,31.0,1.3380281690140845,1.0,1.0,1.004225352112676,1.0,1.0,1.4112676056338027,0.0,0.0
Algorithms,70.18142548596113,47.0,8.0,2.611231101511879,2.0,2.0,1.0539956803455723,1.0,1.0,16.20086393088553,3.0,0.0
algs4,79.24,57.0,5.0,4.029090909090909,4.0,2.0,1.0218181818181817,1.0,1.0,45.556363636363635,0.0,0.0
Alink,58.1343356557878,13.0,9.0,6.437721549932771,5.0,5.0,1.62657376848796,1.0,1.0,34.70272582813837,0.0,0.0
Aliucord,62.925,33.0,3.0,7.525,4.0,3.0,1.4875,1.0,1.0,75.325,0.0,0.0
allure2,29.48134328358209,13.0,8.0,6.022388059701493,4.0,2.0,1.3059701492537314,1.0,1.0,11.421641791044776,1.0,0.0
alluxio,62.386149584487534,29.0,5.0,6.766759002770083,4.0,1.0,1.4930747922437673,1.0,1.0,32.554293628808864,1.0,0.0
AmazeFileManager,71.63205417607223,19.0,5.0,7.28216704288939,4.0,1.0,1.4492099322799097,1.0,1.0,28.537246049661398,0.0,0.0
analysis-ik,66.17647058823529,35.0,17.0,4.911764705882353,4.5,4.0,1.3529411764705883,1.0,1.0,14.294117647058824,2.5,0.0
andOTP,50.86144578313253,13.0,1.0,6.108433734939759,3.0,0.0,1.5,1.0,1.0,41.41566265060241,0.0,0.0
AndPermission,26.702380952380953,13.0,5.0,3.994047619047619,3.0,2.0,1.1666666666666667,1.0,1.0,7.488095238095238,0.0,0.0
AndResGuard,98.57575757575758,41.5,5.0,3.4242424242424243,2.0,1.0,1.5,1.0,1.0,22.37878787878788,1.5,0.0
android,44.251953125,14.0,5.0,4.208984375,2.0,1.0,1.517578125,1.0,1.0,15.65234375,0.0,0.0
android-advancedrecyclerview,52.38481012658228,17.0,5.0,6.60506329113924,4.0,1.0,2.4075949367088607,2.0,1.0,32.02278481012658,0.0,0.0
android-async-http,49.48051948051948,25.0,5.0,5.662337662337662,4.0,1.0,1.7857142857142858,1.0,1.0,45.87662337662338,3.0,0.0
android-autofittextview,58.75,15.0,5.0,5.375,4.0,3.0,1.375,1.0,1.0,40.75,1.5,0.0
Android-BluetoothKit,34.634854771784234,12.0,3.0,4.074688796680498,2.0,1.0,1.2489626556016598,1.0,1.0,18.70124481327801,0.0,0.0
Android-Bootstrap,131.50632911392404,23.0,5.0,6.962025316455696,3.0,1.0,1.6708860759493671,1.0,1.0,31.39240506329114,2.0,0.0
android-butterknife-zelezny,39.65853658536585,17.0,5.0,4.926829268292683,3.0,1.0,1.6585365853658536,1.0,1.0,11.317073170731707,0.0,0.0
android-classyshark,41.10377358490566,16.5,5.0,3.169811320754717,2.0,1.0,1.278301886792453,1.0,1.0,10.25,1.0,0.0
Android-CleanArchitecture,21.523809523809526,13.0,7.0,5.142857142857143,4.0,1.0,1.4285714285714286,1.0,1.0,6.723809523809524,1.0,0.0
android-common,76.69411764705882,35.0,5.0,3.5176470588235293,2.0,1.0,1.2470588235294118,1.0,1.0,124.3529411764706,1.0,0.0
